location,scenario,algorithm,expected_total_sec,expected_drive_sec,expected_walk_sec,expected_exit_sec,expected_cross_sec,success_probability,runtime_ms,chain_length,status
Set 11: S-N,Evening Stay (2-4h),MDP,947.55,430.11,163.28,346.65,7.5,0.9375,17010.4,4,success
Set 11: S-N,Evening Stay (2-4h),Heuristic,947.55,430.11,163.28,346.65,7.5,0.9375,5871.3,4,success
Set 11: S-N,Taxi (5-10m),MDP_Difference,1269.78,887.59,149.63,225.06,7.5,0.75,5882.9,2,success
Set 11: S-N,Taxi (5-10m),MDP,1269.78,887.59,149.63,225.06,7.5,0.75,17189.9,2,success
Set 11: S-N,Taxi (5-10m),Heuristic,1269.78,887.59,149.63,225.06,7.5,0.75,5917.3,2,success
Set 11: S-N,Delivery (1-4m),MDP_Difference,1301.04,918.85,149.63,225.06,7.5,0.75,7296.7,2,success
Set 11: S-N,Delivery (1-4m),MDP,1301.04,918.85,149.63,225.06,7.5,0.75,17098.5,2,success
Set 11: S-N,Delivery (1-4m),Heuristic,1301.04,918.85,149.63,225.06,7.5,0.75,5843.4,2,success
Set 12: S-E,Short Stay (10-40m),MDP_Difference,1286.06,669.66,157.72,451.18,7.5,0.875,7426.1,3,success
Set 12: S-E,Short Stay (10-40m),MDP,1286.06,669.66,157.72,451.18,7.5,0.875,17024.8,3,success
Set 12: S-E,Short Stay (10-40m),Heuristic,1286.06,669.66,157.72,451.18,7.5,0.875,5975.7,3,success
Set 12: S-E,Mid Stay (1-2h),MDP_Difference,1108.18,469.14,167.55,463.98,7.5,0.9688,12369.2,5,success
Set 12: S-E,Mid Stay (1-2h),MDP,1108.18,469.14,167.55,463.98,7.5,0.9688,17059.2,5,success
Set 12: S-E,Mid Stay (1-2h),Heuristic,1108.18,469.14,167.55,463.98,7.5,0.9688,5917.8,5,success
Set 12: S-E,Long Stay - Day (6-10h),MDP_Difference,1287.94,539.57,172.0,568.86,7.5,0.9922,17331.9,7,success
Set 12: S-E,Long Stay - Day (6-10h),MDP,1295.15,552.18,170.5,564.97,7.5,0.9844,17085.7,6,success
Set 12: S-E,Long Stay - Day (6-10h),Heuristic,1287.94,539.57,172.0,568.86,7.5,0.9922,5952.5,7,success
Set 12: S-E,Long Stay - Night (8-12h),MDP_Difference,954.51,332.55,172.0,442.45,7.5,0.9922,17547.2,7,success
Set 12: S-E,Long Stay - Night (8-12h),MDP,963.16,345.74,170.5,439.42,7.5,0.9844,16897.5,6,success
Set 12: S-E,Long Stay - Night (8-12h),Heuristic,954.51,332.55,172.0,442.45,7.5,0.9922,5960.4,7,success
Set 12: S-E,Evening Stay (2-4h),MDP_Difference,1141.27,430.11,163.28,540.37,7.5,0.9375,9819.8,4,success
Set 12: S-E,Evening Stay (2-4h),MDP,1141.27,430.11,163.28,540.37,7.5,0.9375,16986.6,4,success
Set 12: S-E,Evening Stay (2-4h),Heuristic,1141.27,430.11,163.28,540.37,7.5,0.9375,5858.3,4,success
Set 12: S-E,Taxi (5-10m),MDP_Difference,1388.48,887.59,149.63,343.76,7.5,0.75,5864.4,2,success
Set 12: S-E,Taxi (5-10m),MDP,1388.48,887.59,149.63,343.76,7.5,0.75,17033.2,2,success
Set 12: S-E,Taxi (5-10m),Heuristic,1388.48,887.59,149.63,343.76,7.5,0.75,5893.3,2,success
Set 12: S-E,Delivery (1-4m),MDP_Difference,1419.74,918.85,149.63,343.76,7.5,0.75,5910.3,2,success
Set 12: S-E,Delivery (1-4m),MDP,1419.74,918.85,149.63,343.76,7.5,0.75,17069.2,2,success
Set 12: S-E,Delivery (1-4m),Heuristic,1419.74,918.85,149.63,343.76,7.5,0.75,5882.8,2,success
Set 13: W-W,Short Stay (10-40m),MDP_Difference,1020.73,467.81,199.72,334.45,18.75,0.875,7202.8,3,success
Set 13: W-W,Short Stay (10-40m),MDP,1020.73,467.81,199.72,334.45,18.75,0.875,17155.5,3,success
Set 13: W-W,Short Stay (10-40m),Heuristic,1020.73,467.81,199.72,334.45,18.75,0.875,6209.9,3,success
Set 13: W-W,Mid Stay (1-2h),MDP_Difference,859.08,281.72,209.55,349.06,18.75,0.9688,12324.9,5,success
Set 13: W-W,Mid Stay (1-2h),MDP,859.08,281.72,209.55,349.06,18.75,0.9688,16853.7,5,success
Set 13: W-W,Mid Stay (1-2h),Heuristic,859.08,281.72,209.55,349.06,18.75,0.9688,6578.3,5,success
Set 13: W-W,Long Stay - Day (6-10h),MDP_Difference,899.56,402.76,132.34,347.35,17.11,0.9922,17366.0,7,success
Set 13: W-W,Long Stay - Day (6-10h),MDP,922.62,441.56,125.62,339.03,16.41,0.9688,17198.4,5,success
Set 13: W-W,Long Stay - Day (6-10h),Heuristic,932.45,421.55,156.74,334.0,20.16,0.9922,5962.3,7,success
Set 13: W-W,Long Stay - Night (8-12h),MDP_Difference,754.02,188.22,213.47,333.47,18.87,0.9922,17984.8,7,success
Set 13: W-W,Long Stay - Night (8-12h),MDP,754.02,188.22,213.47,333.47,18.87,0.9922,17046.1,7,success
Set 13: W-W,Long Stay - Night (8-12h),Heuristic,683.7,273.3,107.19,291.85,11.37,0.9922,5882.9,7,success
Set 13: W-W,Evening Stay (2-4h),MDP_Difference,836.89,358.44,142.34,317.36,18.75,0.9375,9762.6,4,success
Set 13: W-W,Evening Stay (2-4h),MDP,836.89,358.44,142.34,317.36,18.75,0.9375,17044.7,4,success
Set 13: W-W,Evening Stay (2-4h),Heuristic,836.89,358.44,142.34,317.36,18.75,0.9375,5874.8,4,success
Set 13: W-W,Taxi (5-10m),MDP_Difference,1141.62,682.8,191.62,248.45,18.75,0.75,5871.3,2,success
Set 13: W-W,Taxi (5-10m),MDP,1141.62,682.8,191.62,248.45,18.75,0.75,17008.9,2,success
Set 13: W-W,Taxi (5-10m),Heuristic,1141.62,682.8,191.62,248.45,18.75,0.75,6179.7,2,success
Set 13: W-W,Delivery (1-4m),MDP_Difference,1158.25,699.43,191.62,248.45,18.75,0.75,5888.5,2,success
Set 13: W-W,Delivery (1-4m),MDP,1158.25,699.43,191.62,248.45,18.75,0.75,16942.1,2,success
Set 13: W-W,Delivery (1-4m),Heuristic,1158.25,699.43,191.62,248.45,18.75,0.75,6055.0,2,success
Set 14: W-N,Short Stay (10-40m),MDP_Difference,913.59,467.81,199.72,227.3,18.75,0.875,7230.6,3,success
Set 14: W-N,Short Stay (10-40m),MDP,913.59,467.81,199.72,227.3,18.75,0.875,17009.0,3,success
Set 14: W-N,Short Stay (10-40m),Heuristic,913.59,467.81,199.72,227.3,18.75,0.875,5799.8,3,success
Set 14: W-N,Mid Stay (1-2h),MDP_Difference,746.99,281.72,209.55,236.96,18.75,0.9688,12417.2,5,success
Set 14: W-N,Mid Stay (1-2h),MDP,746.99,281.72,209.55,236.96,18.75,0.9688,16945.2,5,success
Set 14: W-N,Mid Stay (1-2h),Heuristic,746.99,281.72,209.55,236.96,18.75,0.9688,5845.2,5,success
Set 14: W-N,Long Stay - Day (6-10h),MDP_Difference,825.96,301.69,214.0,291.51,18.75,0.9922,17051.7,7,success
Set 14: W-N,Long Stay - Day (6-10h),MDP,834.68,314.3,212.5,289.13,18.75,0.9844,16941.4,6,success
Set 14: W-N,Long Stay - Day (6-10h),Heuristic,825.33,301.42,213.47,291.59,18.87,0.9922,5783.3,7,success
Set 14: W-N,Long Stay - Night (8-12h),MDP_Difference,647.87,188.38,214.0,226.73,18.75,0.9922,16999.3,7,success
Set 14: W-N,Long Stay - Night (8-12h),MDP,657.69,201.56,212.5,224.88,18.75,0.9844,16885.5,6,success
Set 14: W-N,Long Stay - Night (8-12h),Heuristic,647.87,188.38,214.0,226.73,18.75,0.9922,5856.8,7,success
Set 14: W-N,Evening Stay (2-4h),MDP_Difference,784.78,285.94,205.28,274.81,18.75,0.9375,9827.5,4,success
Set 14: W-N,Evening Stay (2-4h),MDP,784.78,285.94,205.28,274.81,18.75,0.9375,17382.4,4,success
Set 14: W-N,Evening Stay (2-4h),Heuristic,784.78,285.94,205.28,274.81,18.75,0.9375,5888.1,4,success
Set 14: W-N,Taxi (5-10m),MDP_Difference,1062.36,682.8,191.62,169.18,18.75,0.75,5873.1,2,success
Set 14: W-N,Taxi (5-10m),MDP,1062.36,682.8,191.62,169.18,18.75,0.75,17004.7,2,success
Set 14: W-N,Taxi (5-10m),Heuristic,1062.36,682.8,191.62,169.18,18.75,0.75,5783.2,2,success
Set 14: W-N,Delivery (1-4m),MDP_Difference,1078.99,699.43,191.62,169.18,18.75,0.75,5822.4,2,success
Set 14: W-N,Delivery (1-4m),MDP,1078.99,699.43,191.62,169.18,18.75,0.75,17008.5,2,success
Set 14: W-N,Delivery (1-4m),Heuristic,1078.99,699.43,191.62,169.18,18.75,0.75,5782.8,2,success
Set 15: W-E,Short Stay (10-40m),MDP_Difference,1215.38,467.81,199.72,529.1,18.75,0.875,7266.0,3,success
Set 15: W-E,Short Stay (10-40m),MDP,1215.38,467.81,199.72,529.1,18.75,0.875,17112.1,3,success
Set 15: W-E,Short Stay (10-40m),Heuristic,1215.38,467.81,199.72,529.1,18.75,0.875,5781.0,3,success
Set 15: W-E,Mid Stay (1-2h),MDP_Difference,1047.05,281.72,209.55,537.03,18.75,0.9688,12316.2,5,success
Set 15: W-E,Mid Stay (1-2h),MDP,1047.05,281.72,209.55,537.03,18.75,0.9688,17271.7,5,success
Set 15: W-E,Mid Stay (1-2h),Heuristic,1047.05,281.72,209.55,537.03,18.75,0.9688,5830.4,5,success
Set 15: W-E,Long Stay - Day (6-10h),MDP_Difference,1190.96,301.69,214.0,656.52,18.75,0.9922,17140.4,7,success
Set 15: W-E,Long Stay - Day (6-10h),MDP,1198.18,314.3,212.5,652.63,18.75,0.9844,17051.0,6,success
Set 15: W-E,Long Stay - Day (6-10h),Heuristic,1190.96,301.69,214.0,656.52,18.75,0.9922,5868.8,7,success
Set 15: W-E,Long Stay - Night (8-12h),MDP_Difference,931.76,188.38,214.0,510.63,18.75,0.9922,17194.9,7,success
Set 15: W-E,Long Stay - Night (8-12h),MDP,940.41,201.56,212.5,507.6,18.75,0.9844,16954.9,6,success
Set 15: W-E,Long Stay - Night (8-12h),Heuristic,931.76,188.38,214.0,510.63,18.75,0.9922,5897.3,7,success
Set 15: W-E,Evening Stay (2-4h),MDP_Difference,1138.0,285.94,205.28,628.03,18.75,0.9375,9806.2,4,success
Set 15: W-E,Evening Stay (2-4h),MDP,1138.0,285.94,205.28,628.03,18.75,0.9375,16995.6,4,success
Set 15: W-E,Evening Stay (2-4h),Heuristic,1138.0,285.94,205.28,628.03,18.75,0.9375,5930.0,4,success
Set 15: W-E,Taxi (5-10m),MDP_Difference,1305.12,682.8,191.62,411.94,18.75,0.75,8535.2,2,success
Set 15: W-E,Taxi (5-10m),MDP,1305.12,682.8,191.62,411.94,18.75,0.75,17339.5,2,success
Set 15: W-E,Taxi (5-10m),Heuristic,1305.12,682.8,191.62,411.94,18.75,0.75,5881.5,2,success
Set 15: W-E,Delivery (1-4m),MDP_Difference,1321.75,699.43,191.62,411.94,18.75,0.75,5889.3,2,success
Set 15: W-E,Delivery (1-4m),MDP,1321.75,699.43,191.62,411.94,18.75,0.75,17141.4,2,success
Set 15: W-E,Delivery (1-4m),Heuristic,1321.75,699.43,191.62,411.94,18.75,0.75,5849.3,2,success
Set 16: W-S,Short Stay (10-40m),MDP_Difference,1280.38,467.81,199.72,594.1,18.75,0.875,7319.5,3,success
Set 16: W-S,Short Stay (10-40m),MDP,1280.38,467.81,199.72,594.1,18.75,0.875,17081.3,3,success
Set 16: W-S,Short Stay (10-40m),Heuristic,1280.38,467.81,199.72,594.1,18.75,0.875,5892.1,3,success
Set 16: W-S,Mid Stay (1-2h),MDP_Difference,1123.45,281.72,209.55,613.42,18.75,0.9688,12387.7,5,success
Set 16: W-S,Mid Stay (1-2h),MDP,1123.45,281.72,209.55,613.42,18.75,0.9688,16956.6,5,success
Set 16: W-S,Mid Stay (1-2h),Heuristic,1123.45,281.72,209.55,613.42,18.75,0.9688,5837.9,5,success
Set 16: W-S,Long Stay - Day (6-10h),MDP_Difference,1287.02,300.89,214.69,752.69,18.75,0.9922,17181.3,7,success
Set 16: W-S,Long Stay - Day (6-10h),MDP,1292.95,314.3,212.5,747.4,18.75,0.9844,17016.2,6,success
Set 16: W-S,Long Stay - Day (6-10h),Heuristic,1287.02,300.89,214.69,752.69,18.75,0.9922,5935.0,7,success
Set 16: W-S,Long Stay - Night (8-12h),MDP_Difference,1006.76,187.9,214.69,585.43,18.75,0.9922,17187.8,7,success
Set 16: W-S,Long Stay - Night (8-12h),MDP,1014.12,201.56,212.5,581.31,18.75,0.9844,17071.1,6,success
Set 16: W-S,Long Stay - Night (8-12h),Heuristic,1006.76,187.9,214.69,585.43,18.75,0.9922,5848.1,7,success
Set 16: W-S,Evening Stay (2-4h),MDP_Difference,1223.5,285.94,205.28,713.53,18.75,0.9375,9854.0,4,success
Set 16: W-S,Evening Stay (2-4h),MDP,1223.5,285.94,205.28,713.53,18.75,0.9375,17209.7,4,success
Set 16: W-S,Evening Stay (2-4h),Heuristic,1223.5,285.94,205.28,713.53,18.75,0.9375,5885.2,4,success
Set 16: W-S,Taxi (5-10m),MDP_Difference,1342.75,682.8,191.62,449.57,18.75,0.75,6042.0,2,success
Set 16: W-S,Taxi (5-10m),MDP,1342.75,682.8,191.62,449.57,18.75,0.75,17127.4,2,success
Set 16: W-S,Taxi (5-10m),Heuristic,1342.75,682.8,191.62,449.57,18.75,0.75,5932.8,2,success
Set 16: W-S,Delivery (1-4m),MDP_Difference,1359.38,699.43,191.62,449.57,18.75,0.75,5978.7,2,success
Set 16: W-S,Delivery (1-4m),MDP,1359.38,699.43,191.62,449.57,18.75,0.75,17203.6,2,success
Set 16: W-S,Delivery (1-4m),Heuristic,1359.38,699.43,191.62,449.57,18.75,0.75,5951.7,2,success
