step,from_idx,to_idx,raw_drive,raw_turn,walk,exit_drive,exit_turn,cross,p_i,pure_norm_drive,pure_norm_turn,pure_norm_walk,pure_norm_exit,pure_norm_cross,pure_norm_exit_turn,norm_drive,norm_turn,norm_walk,norm_exit,norm_cross,norm_exit_turn,fail_prob,drive_weight,lambda_w,lambda_e,lambda_tr,lambda_turns_arr,lambda_turns_exit,lambda_cross
0,-1,0,256.4298524146257,154.0,64.76845105252411,271.59383947173075,80.0,0.0,0.5,0.5879112669651637,0.6111111111111112,0.1719399475660717,0.6226774174700239,0.0,0.3174603174603175,0.5879112669651637,0.0,0.6877597902642868,0.6226774174700239,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,25.0
0,-1,1,256.42997865919057,154.0,89.00635521875502,271.59369519222804,80.0,0.0,0.5,0.5879115564033917,0.6111111111111112,0.23628399013200552,0.6226770866834777,0.0,0.3174603174603175,0.5879115564033917,0.0,0.9451359605280221,0.6226770866834777,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,25.0
0,-1,2,140.80621635467764,14.0,91.81647876144626,215.70593608554873,64.0,15.0,0.5,0.3228234165178187,0.05555555555555556,0.24374398781193593,0.4945444104179834,0.3333333333333333,0.253968253968254,0.3228234165178187,0.0,0.9749759512477437,0.4945444104179834,8.333333333333332,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,25.0
0,-1,3,344.5494544608448,210.0,94.52116662005689,285.6145667079532,144.0,0.0,0.5,0.789941203790506,0.8333333333333335,0.2509240867804132,0.6548224405069376,0.0,0.5714285714285715,0.789941203790506,0.0,1.003696347121653,0.6548224405069376,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,25.0
0,-1,4,140.80614852450924,14.0,124.35556576719597,215.7060136057412,64.0,15.0,0.5,0.3228232610050347,0.05555555555555556,0.3301250703096378,0.4945445881468794,0.3333333333333333,0.253968253968254,0.3228232610050347,0.0,1.3205002812385511,0.4945445881468794,8.333333333333332,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,25.0
0,-1,5,256.4300695783491,154.0,136.61803886183276,271.59359128461824,80.0,0.0,0.5,0.5879117648518121,0.6111111111111112,0.3626780949174425,0.6226768484567113,0.0,0.3174603174603175,0.5879117648518121,0.0,1.45071237966977,0.6226768484567113,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,25.0
0,-1,6,312.56476634121526,210.0,151.51843012876304,235.08837409876588,88.0,15.0,0.5,0.716610589827931,0.8333333333333335,0.4022339658934569,0.5389821136803915,0.3333333333333333,0.34920634920634924,0.716610589827931,0.0,1.6089358635738276,0.5389821136803915,8.333333333333332,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,25.0
0,-1,7,188.37470298405177,112.0,167.1415837114404,363.1082738899647,224.0,15.0,0.5,0.43188267377103434,0.4444444444444445,0.4437085443984116,0.8324906142480276,0.3333333333333333,0.888888888888889,0.43188267377103434,0.0,1.7748341775936465,0.8324906142480276,8.333333333333332,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,25.0
0,-1,8,371.3648344816998,210.0,172.14365804704852,250.5593130884273,96.0,15.0,0.5,0.8514202550544845,0.8333333333333335,0.4569874847622716,0.5744520063504769,0.3333333333333333,0.380952380952381,0.8514202550544845,0.0,1.8279499390490863,0.5744520063504769,8.333333333333332,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,25.0
1,0,1,0.0001262445648251444,0.0,89.00635521875502,271.59369519222804,80.0,0.0,0.5,2.894382278620504e-07,0.0,0.23628399013200552,0.6226770866834777,0.0,0.3174603174603175,8.683146835861513e-07,0.0,0.9451359605280221,0.6226770866834777,0.0,0.0,0.5,3.0,4.0,1.0,3.0,0.0,0.0,25.0
1,0,2,63.992191630651725,28.0,91.81647876144626,215.70593608554873,64.0,15.0,0.5,0.1467135362875879,0.11111111111111112,0.24374398781193593,0.4945444104179834,0.3333333333333333,0.253968253968254,0.44014060886276374,0.0,0.9749759512477437,0.4945444104179834,8.333333333333332,0.0,0.5,3.0,4.0,1.0,3.0,0.0,0.0,25.0
1,0,3,104.66998593314933,14.0,94.52116662005689,285.6145667079532,144.0,0.0,0.5,0.23997464984569747,0.05555555555555556,0.2509240867804132,0.6548224405069376,0.0,0.5714285714285715,0.7199239495370924,0.0,1.003696347121653,0.6548224405069376,0.0,0.0,0.5,3.0,4.0,1.0,3.0,0.0,0.0,25.0
